title,location,snippet,salary,source,type,link,company,updated,id,Country
Senior Customer Service Data Analyst,Canada,"&nbsp;...các quy định của Chính sách bảo mật/ Thông báo xử lý dữ liệu cá nhân của Ninja Van tại https://www.ninjavan.co/files/vi-vn/personal-<b>data-</b>processing-notice.pdf
~(Bạn có quyền cập nhật, điều chỉnh, xóa, rút lại sự đồng ý và các quyền khác của chủ thể dữ liệu. Để thực hi...&nbsp;",,Ninja Van,Full-time,https://jooble.org/jdp/3538521698471612081,Ninja Van,2025-04-10T16:09:17.5756350+00:00,3538521698471612081,Canada
"Data Analyst, Product Strategy",Canada,"&nbsp;...<b>Data Analyst,</b> Product Strategy 
 Posting closes: April 1, 2025
 Job Description: 
 eCAMION Inc. is a Toronto-based all-in-one solution provider of Battery Energy Storage Systems (BESS) and Electric Vehicle Fast Charging (EVFC). Leveraging its patented technologies,...&nbsp;",,tamrecruiting.com,Full-time,https://jooble.org/jdp/1664122067943261131,Jule,2025-04-15T00:00:00.0000000,1664122067943261131,Canada
Power BI / Data Analyst,Canada,"&nbsp;...Power BI / <b>Data Analyst </b>
6 month contract with possible extension 
1 day per week in the office in Vaughan 
 Job Description 
 We are looking for a highly experienced  Power BI / Data Analyst  with strong design skills to join our team. This role requires an individual...&nbsp;",,catsone.com,,https://jooble.org/jdp/-1388517353944527907,hireVouch,2025-03-31T00:00:00.0000000,-1388517353944527907,Canada
Supply Chain Data Analyst,Canada,"&nbsp;...Job Description 
 AltaGas is seeking a   Supply Chain <b>Data Analyst </b>with a passion and interest in procurement, strategic sourcing and supply chain management.  You will work closely with Category Managers and other Supply Chain Mangement (SCM) leaders to support high...&nbsp;",,troopstoenergy.jobs,,https://jooble.org/jdp/3028154381348058844,,2025-04-15T15:30:14.2413465+00:00,3028154381348058844,Canada
Adobe Customer Real-Time Data Platform (CDP) Implementation Specialist,Canada,"&nbsp;...About the Role: We are seeking an experienced Adobe Customer Real-Time <b>Data </b>Platform (CDP) expert to support a high-impact project for a globally recognized Big 4 accounting firm. This role involves collaborating with cross-functional teams to design, implement, and optimize...&nbsp;",,catsone.com,,https://jooble.org/jdp/2635703268560518121,hireVouch,2025-01-21T00:00:00.0000000,2635703268560518121,Canada
Senior Quality Assurance Analyst,Canada,"&nbsp;...Senior Quality Assurance <b>Analyst </b>
 
 JOB-10043756
 
 Anticipated Start Date 
 June 9, 2025
 
 Location 
 Taylor, TX 
 
 Type...&nbsp;&nbsp;...are met and address any project deviations. 
 Assist with test <b>data </b>requests and ensure testing is aligned with operational acceptance...&nbsp;",,hppstaffing.com,Full-time,https://jooble.org/jdp/-675145858445492769,Dynamics ATS,2025-03-17T12:26:00.3213616+00:00,-675145858445492769,Canada
Business Analyst - Implementation,Canada,"&nbsp;...BA / Implementation <b>Analyst </b>
6 month contract with possible extension 
1 day per week in office in the Vaughan office 
 Job Description...&nbsp;&nbsp;..., business processes, implementation needs, and business <b>data </b>interfaces assessment. 
 Responsibilities 
 Collaborate with IT...&nbsp;",,catsone.com,,https://jooble.org/jdp/-1489141244589628186,hireVouch,2025-03-20T00:00:00.0000000,-1489141244589628186,Canada
"Salesforce Business Analyst - Bala Cynwyd, PA",Canada,"&nbsp;...Req ID: 317338
 NTT <b>DATA </b>strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to...&nbsp;&nbsp;...organization, apply now. 
 We are currently seeking a Salesforce Business <b>Analyst </b>- Bala Cynwyd, PA to join our team in Waterloo, Ontario (CA-ON),...&nbsp;",,careers-inc.nttdata.com,,https://jooble.org/jdp/-1418129254757713728,"NTT DATA, Inc.",2025-04-10T01:10:15.9402116+00:00,-1418129254757713728,Canada
Business Analyst Functional III_CAN(RIOJP00024525),Canada," Coordinator Early Talent, (Graduates and Interns) 
 
 
  About the role 
 
 We are looking for a  Coordinator Early Talent  to provide professional recruitment support services. 
  The incumbent will provide recruitment support for the Americas, working with partners...",,ceipal.com,,https://jooble.org/jdp/-1829479252593910174,"ExcelGens, Inc.",2025-04-14T00:00:00.0000000,-1829479252593910174,Canada
Change Management Consultant,Canada,"&nbsp;...accelerate transformation and achieve extraordinary results. As a  Fortune 500 Solutions Integrator  with deep expertise in cloud, <b>data,</b> AI, cybersecurity, and intelligent edge, we guide organisations through complex digital decisions. 

 About the role 
 We’re seeking...&nbsp;",,insight.com,,https://jooble.org/jdp/-7644454502842080418,Insight,2025-04-04T20:22:35.7012536+00:00,-7644454502842080418,Canada
